-BEGIN HEADER-,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data,,,,,,,,,
Dates (month/day/year): 01/01/2024 through 02/29/2024,,,,,,,,,
Location: Regional,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999,,,,,,,,,
Parameter(s):,,,,,,,,,
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s),,,,,,,,,
-END HEADER-,,,,,,,,,
LAT,LON,YEAR,DOY,WS10M_MAX,knots,avg,date,T,max
10.25,67.75,2024,1,4.07,7.912130638,10.23121811,Jan-01,nil,13.41368585
10.25,68.25,2024,1,3.75,7.290046656,,,,
10.25,68.75,2024,1,3.55,6.901244168,,,,
10.25,69.25,2024,1,3.33,6.473561431,,,,
10.25,69.75,2024,1,3.19,6.201399689,,,,
10.25,70.25,2024,1,3.23,6.279160187,,,,
10.25,70.75,2024,1,3.4,6.609642302,,,,
10.25,71.25,2024,1,3.53,6.862363919,,,,
10.25,71.75,2024,1,3.73,7.251166407,,,,
10.25,72.25,2024,1,4.06,7.892690513,,,,
10.25,72.75,2024,1,4.54,8.825816485,,,,
10.25,73.25,2024,1,5.09,9.895023328,,,,
10.75,67.75,2024,1,4.27,8.300933126,,,,
10.75,68.25,2024,1,4.05,7.873250389,,,,
10.75,68.75,2024,1,3.84,7.465007776,,,,
10.75,69.25,2024,1,3.67,7.134525661,,,,
10.75,69.75,2024,1,3.6,6.99844479,,,,
10.75,70.25,2024,1,3.62,7.037325039,,,,
10.75,70.75,2024,1,3.74,7.270606532,,,,
10.75,71.25,2024,1,3.99,7.756609642,,,,
10.75,71.75,2024,1,4.24,8.242612753,,,,
10.75,72.25,2024,1,4.26,8.281493002,,,,
10.75,72.75,2024,1,4.26,8.281493002,,,,
10.75,73.25,2024,1,4.35,8.456454121,,,,
11.25,67.75,2024,1,4.68,9.097978227,,,,
11.25,68.25,2024,1,4.64,9.020217729,,,,
11.25,68.75,2024,1,4.66,9.059097978,,,,
11.25,69.25,2024,1,4.63,9.000777605,,,,
11.25,69.75,2024,1,4.57,8.884136858,,,,
11.25,70.25,2024,1,4.47,8.689735614,,,,
11.25,70.75,2024,1,4.39,8.534214619,,,,
11.25,71.25,2024,1,4.39,8.534214619,,,,
11.25,71.75,2024,1,4.44,8.631415241,,,,
11.25,72.25,2024,1,4.37,8.49533437,,,,
11.25,72.75,2024,1,4.03,7.83437014,,,,
11.25,73.25,2024,1,3.56,6.920684292,,,,
