-BEGIN HEADER-,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,,
Dates (month/day/year): 09/01/2023 through 10/31/2023 ,,,,,,,,,,
Location: Regional ,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,
Parameter(s): ,,,,,,,,,,
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) ,,,,,,,,,,
-END HEADER-,,,,,,,,,,
LAT,LON,YEAR,DOY,WS10M_MAX,,Knots ,Average,Date ,T,Max
11.25,69.25,2023,244,5.97,,11.60575428,8.399522328,Sep-01,nil,11.60575428
11.25,69.75,2023,244,5.7,,11.08087092,,,,
11.25,70.25,2023,244,5.48,,10.65318818,,,,
11.25,70.75,2023,244,5.3,,10.30326594,,,,
11.25,71.25,2023,244,5.14,,9.99222395,,,,
11.25,71.75,2023,244,4.82,,9.370139969,,,,
11.25,72.25,2023,244,4.53,,8.806376361,,,,
11.25,72.75,2023,244,4.3,,8.359253499,,,,
11.25,73.25,2023,244,4.14,,8.048211509,,,,
11.75,69.25,2023,244,5.65,,10.9836703,,,,
11.75,69.75,2023,244,5.37,,10.43934681,,,,
11.75,70.25,2023,244,5.18,,10.06998445,,,,
11.75,70.75,2023,244,5.06,,9.836702955,,,,
11.75,71.25,2023,244,4.89,,9.50622084,,,,
11.75,71.75,2023,244,4.61,,8.961897356,,,,
11.75,72.25,2023,244,4.39,,8.534214619,,,,
11.75,72.75,2023,244,4.29,,8.339813375,,,,
11.75,73.25,2023,244,4.27,,8.300933126,,,,
12.25,69.25,2023,244,5.43,,10.55598756,,,,
12.25,69.75,2023,244,5.16,,10.0311042,,,,
12.25,70.25,2023,244,4.93,,9.583981337,,,,
12.25,70.75,2023,244,4.75,,9.234059098,,,,
12.25,71.25,2023,244,4.59,,8.923017107,,,,
12.25,71.75,2023,244,4.41,,8.573094868,,,,
12.25,72.25,2023,244,4.35,,8.456454121,,,,
12.25,72.75,2023,244,4.41,,8.573094868,,,,
12.25,73.25,2023,244,4.5,,8.748055988,,,,
12.75,69.25,2023,244,5.23,,10.16718507,,,,
12.75,69.75,2023,244,4.86,,9.447900467,,,,
12.75,70.25,2023,244,4.57,,8.884136858,,,,
12.75,70.75,2023,244,4.37,,8.49533437,,,,
12.75,71.25,2023,244,4.3,,8.359253499,,,,
