-BEGIN HEADER-,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,,
Dates (month/day/year): 07/01/2023 through 07/31/2023 ,,,,,,,,,,
Location: Regional ,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,
Parameter(s): ,,,,,,,,,,
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) ,,,,,,,,,,
-END HEADER-,,,,,,,,,,
LAT,LON,YEAR,DOY,WS10M_MAX,,knots,avg ,date,T,max
12.75,69.75,2023,182,8.07,,15.6881804,17.47198539,Jul-01,1,20.76205288
12.75,70.25,2023,182,7.82,,15.20217729,,,,
12.75,70.75,2023,182,7.61,,14.79393468,,,,
12.75,71.25,2023,182,7.64,,14.85225505,,,,
12.75,71.75,2023,182,7.55,,14.67729393,,,,
12.75,72.25,2023,182,7.3,,14.19129082,,,,
12.75,72.75,2023,182,7.02,,13.64696734,,,,
12.75,73.25,2023,182,6.78,,13.18040435,,,,
13.25,69.75,2023,182,8.62,,16.75738725,,,,
13.25,70.25,2023,182,8.31,,16.15474339,,,,
13.25,70.75,2023,182,8.03,,15.61041991,,,,
13.25,71.25,2023,182,7.98,,15.51321928,,,,
13.25,71.75,2023,182,7.88,,15.31881804,,,,
13.25,72.25,2023,182,7.62,,14.81337481,,,,
13.25,72.75,2023,182,7.32,,14.23017107,,,,
13.25,73.25,2023,182,7.15,,13.89968896,,,,
13.75,69.75,2023,182,9.16,,17.80715397,,,,
13.75,70.25,2023,182,8.84,,17.18506998,,,,
13.75,70.75,2023,182,8.59,,16.69906687,,,,
13.75,71.25,2023,182,8.53,,16.58242613,,,,
13.75,71.75,2023,182,8.34,,16.21306376,,,,
13.75,72.25,2023,182,8.09,,15.72706065,,,,
13.75,72.75,2023,182,7.78,,15.1244168,,,,
13.75,73.25,2023,182,7.5,,14.58009331,,,,
