LAT,LON,YEAR,DOY,WS10M_MAX,knots,avg,date,T,max,,,,,,,,,,,,
10.25,67.75,2024,1,4.07,7.912130638,10.23121811,Jan-01,nil,13.41368585,,,,,,,,,,,,
10.25,67.75,2024,2,5.3,10.30326594,10.44915214,Jan-02,nil,15.31881804,,,,,,,,,,,,
10.25,67.75,2024,3,5.47,10.63374806,10.1107405,Jan-03,nil,14.69673406,,,,,,,,,,,,
10.25,67.75,2024,4,8.34,16.21306376,12.7140119,Jan-04,nil,18.27371695,,,,,,,,,,,,
10.25,67.75,2024,5,8.67,16.85458787,13.81817686,Jan-05,nil,19.67340591,,,,,,,,,,,,
10.25,67.75,2024,6,7.3,14.19129082,14.13910944,Jan-06,nil,25.01944012,,,,,,,,,,,,
10.25,67.75,2024,7,4.63,9.000777605,11.49022196,Jan-07,nil,20.50933126,,,,,,,,,,,,
10.25,67.75,2024,8,2.86,5.559875583,10.64261548,Jan-08,nil,17.5155521,,,,,,,,,,,,
10.25,67.75,2024,9,3.67,7.134525661,12.32819364,Jan-09,nil,18.33203733,,,,,,,,,,,,
10.25,67.75,2024,10,3.74,7.270606532,10.92773731,Jan-10,nil,18.83748056,,,,,,,,,,,,
10.25,67.75,2024,11,5.55,10.78926905,12.22536561,Jan-11,nil,16.19362364,,,,,,,,,,,,
10.25,67.75,2024,12,4.99,9.700622084,12.39231194,Jan-12,nil,17.98211509,,,,,,,,,,,,
10.25,67.75,2024,13,6.86,13.33592535,10.59162779,Jan-13,nil,13.53032659,,,,,,,,,,,,
10.25,67.75,2024,14,5.98,11.6251944,13.55411517,Jan-14,nil,19.32348367,,,,,,,,,,,,
10.25,67.75,2024,15,7.46,14.50233281,14.29028198,Jan-15,nil,18.50699844,,,,,,,,,,,,
10.25,67.75,2024,16,6.72,13.06376361,13.96824098,Jan-16,nil,16.718507,,,,,,,,,,,,
10.25,67.75,2024,17,5.63,10.94479005,9.538024201,Jan-17,nil,11.52799378,,,,,,,,,,,,
10.25,67.75,2024,18,5.17,10.05054432,9.178893482,Jan-18,nil,13.14152411,,,,,,,,,,,,
10.25,67.75,2024,19,6.92,13.4525661,10.42254986,Jan-19,nil,14.28849145,,,,,,,,,,,,
10.25,67.75,2024,20,6.05,11.76127527,13.00228848,Jan-20,nil,16.75738725,,,,,,,,,,,,
10.25,67.75,2024,21,7.31,14.21073095,13.36133393,Jan-21,nil,18.17651633,,,,,,,,,,,,
10.25,67.75,2024,22,7.29,14.1718507,13.10690704,Jan-22,nil,17.5933126,,,,,,,,,,,,
10.25,67.75,2024,23,6.91,13.43312597,13.9080448,Jan-23,nil,16.97122862,,,,,,,,,,,,
10.25,67.75,2024,24,6.3,12.24727838,12.39631934,Jan-24,nil,17.24339036,,,,,,,,,,,,
10.25,67.75,2024,25,5.73,11.13919129,10.6747599,Jan-25,nil,17.41835148,,,,,,,,,,,,
10.25,67.75,2024,26,4.28,8.32037325,9.08493288,Jan-26,nil,12.94712286,,,,,,,,,,,,
10.25,67.75,2024,27,3.49,6.784603421,9.337398707,Jan-27,nil,13.47200622,,,,,,,,,,,,
10.25,67.75,2024,28,4.84,9.409020218,9.918811901,Jan-28,nil,13.25816485,,,,,,,,,,,,
10.25,67.75,2024,29,5.78,11.23639191,11.93802693,Jan-29,nil,16.42690513,,,,,,,,,,,,
10.25,67.75,2024,30,5.46,10.61430793,11.59953003,Jan-30,nil,16.01866252,,,,,,,,,,,,
10.25,67.75,2024,31,4.74,9.214618974,9.747346594,Jan-31,nil,12.90824261,,,,,,,,,,,,
10.25,67.75,2024,32,5.73,11.13919129,8.699796731,Feb-01,nil,11.13919129,,,,,,,,,,,,
10.25,67.75,2024,33,5.95,11.56687403,11.06381818,Feb-02,nil,15.22161742,,,,,,,,,,,,
10.25,67.75,2024,34,5.79,11.25583204,11.46694497,Feb-03,nil,15.0466563,,,,,,,,,,,,
10.25,67.75,2024,35,4.54,8.825816485,9.356156722,Feb-04,nil,13.2970451,,,,,,,,,,,,
10.25,67.75,2024,36,5.7,11.08087092,11.14754713,Feb-05,nil,14.30793157,,,,,,,,,,,,
